line_idx,template_id,raw,normalized_raw,template_text
0,1,"ts=2025-10-18T01:24:13.299981Z level=INFO ns=dev svc=order-svc pod=order-svc-006 region=eu-central-1 host=node-045 rid=- uid=- tid=- msg=Received_request_PATCH_/metrics_status=429_latency=1526ms_bytes=4588533","ts=2025-10-18T01:<PORT>:<PORT>.299981Z level=INFO ns=dev svc=order-svc pod=order-svc-006 region=eu-central-1 host=node-045 rid=- uid=- tid=- msg=Received_request_PATCH_/metrics_status=429_latency=1526ms_bytes=4588533","ts=2025-10-18T01:<PORT>:<PORT>.299981Z level=INFO ns=dev svc=order-svc pod=order-svc-006 region=eu-central-1 host=node-045 rid=- uid=- tid=- msg=Received_request_PATCH_/metrics_status=429_latency=1526ms_bytes=4588533"
1,2,"2025-10-18T14:20:33.184746Z DEBUG staging.payment-svc/payment-svc-007 [us-east-1 node-007] rid=- uid=user-6339 tid=68ed8646-bf7b-4308-bf40-aa5144132183 - Trace f1f37f7b-280b-4d54-8045-7ce537f3991e span=d618063a op=publish_event duration=2356ms","DEBUG staging.payment-svc/payment-svc-007 [us-east-1 node-007] rid=- uid=user-6339 tid=<UUID> - Trace <UUID> span=d618063a op=publish_event duration=2356ms","DEBUG staging.payment-svc/payment-svc-007 [us-east-1 node-007] rid=- uid=user-6339 tid=<UUID> - Trace <UUID> span=d618063a op=publish_event duration=2356ms"
2,3,"2025-10-18T21:05:25.064184Z DEBUG staging.auth-svc/auth-svc-005 [us-west-2 node-005] rid=b8eda157-c394-4c7e-a748-d2a7a3d1343a uid=- tid=- - Order state transition orderId=3204dbd3-5fbd-4955-be54-f285f545597a from=CANCELLED to=CANCELLED","DEBUG staging.auth-svc/auth-svc-005 [us-west-2 node-005] rid=<UUID> uid=- tid=- - Order state transition orderId=<UUID> from=CANCELLED to=CANCELLED","DEBUG staging.auth-svc/auth-svc-005 [us-west-2 node-005] rid=<UUID> uid=- tid=- - Order state transition orderId=<UUID> from=CANCELLED to=CANCELLED"
3,4,"2025-10-18T22:40:24.479640Z WARN prod.kafka-consumer/kafka-consumer-008 [us-east-1 node-009] rid=- uid=user-9690 tid=- - GC cycle completed pause=189ms freed=762MB","WARN prod.kafka-consumer/kafka-consumer-008 [us-east-1 node-009] rid=- uid=user-9690 tid=- - GC cycle completed pause=189ms freed=762MB","WARN prod.kafka-consumer/kafka-consumer-008 [us-east-1 node-009] rid=- uid=user-9690 tid=- - GC cycle completed pause=189ms freed=762MB"
4,5,"{""ts"":""2025-10-18T20:05:47.694845Z"",""level"":""DEBUG"",""service"":""metrics-collector"",""namespace"":""staging"",""pod"":""metrics-collector-006"",""region"":""eu-central-1"",""host"":""node-028"",""request_id"":null,""user_id"":null,""trace_id"":""5a4f04df-876f-45c9-8eb0-e79a7055d8ee"",""message"":""Kafka poll batchSize=2934 lag=16666 topic=orders""}","{""ts"":""2025-10-18T20:<PORT>:<PORT>.694845Z"",""level"":""DEBUG"",""service"":""metrics-collector"",""namespace"":""staging"",""pod"":""metrics-collector-006"",""region"":""eu-central-1"",""host"":""node-028"",""request_id"":null,""user_id"":null,""trace_id"":""<UUID>"",""message"":""Kafka poll batchSize=2934 lag=16666 topic=orders""}","{""ts"":""2025-10-18T20:<PORT>:<PORT>.694845Z"",""level"":""DEBUG"",""service"":""metrics-collector"",""namespace"":""staging"",""pod"":""metrics-collector-006"",""region"":""eu-central-1"",""host"":""node-028"",""request_id"":null,""user_id"":null,""trace_id"":""<UUID>"",""message"":""Kafka poll batchSize=2934 lag=16666 topic=orders""}"
5,6,"{""ts"":""2025-10-18T20:54:07.846692Z"",""level"":""INFO"",""service"":""loki-ingestor"",""namespace"":""prod"",""pod"":""loki-ingestor-001"",""region"":""us-east-1"",""host"":""node-001"",""request_id"":null,""user_id"":null,""trace_id"":""eaa07601-31f5-4fb1-9bbf-e69c372603db"",""message"":""Cache DEL key=9769356e ttl=79s hit=False""}","{""ts"":""2025-10-18T20:<PORT>:<PORT>.846692Z"",""level"":""INFO"",""service"":""loki-ingestor"",""namespace"":""prod"",""pod"":""loki-ingestor-001"",""region"":""us-east-1"",""host"":""node-001"",""request_id"":null,""user_id"":null,""trace_id"":""<UUID>"",""message"":""Cache DEL key=9769356e ttl=79s hit=False""}","{""ts"":""2025-10-18T20:<PORT>:<PORT>.846692Z"",""level"":""INFO"",""service"":""loki-ingestor"",""namespace"":""prod"",""pod"":""loki-ingestor-001"",""region"":""us-east-1"",""host"":""node-001"",""request_id"":null,""user_id"":null,""trace_id"":""<UUID>"",""message"":""Cache DEL key=9769356e ttl=79s hit=False""}"
6,7,"{""ts"":""2025-10-18T09:25:45.982876Z"",""level"":""WARN"",""service"":""metrics-collector"",""namespace"":""staging"",""pod"":""metrics-collector-007"",""region"":""us-east-1"",""host"":""node-046"",""request_id"":null,""user_id"":null,""trace_id"":""39a32bac-2054-4bac-ad8b-0314c4a82fdf"",""message"":""Completed job id=d6c2f350-398f-4cfe-bec7-7d3fcb81a727 result=SUCCESS duration=18872ms""}","{""ts"":""2025-10-18T09:<PORT>:<PORT>.982876Z"",""level"":""WARN"",""service"":""metrics-collector"",""namespace"":""staging"",""pod"":""metrics-collector-007"",""region"":""us-east-1"",""host"":""node-046"",""request_id"":null,""user_id"":null,""trace_id"":""<UUID>"",""message"":""Completed job id=<UUID> result=SUCCESS duration=18872ms""}","{""ts"":""2025-10-18T09:<PORT>:<PORT>.982876Z"",""level"":""WARN"",""service"":""metrics-collector"",""namespace"":""staging"",""pod"":""metrics-collector-007"",""region"":""us-east-1"",""host"":""node-046"",""request_id"":null,""user_id"":null,""trace_id"":""<UUID>"",""message"":""Completed job id=<UUID> result=SUCCESS duration=18872ms""}"
7,8,"2025-10-18T14:52:49.956777Z WARN prod.loki-ingestor/loki-ingestor-003 [eu-central-1 node-012] rid=3bb44cf6-e8c9-43b2-81b9-a664095d9dd5 uid=- tid=- - User user-3825 authenticated via saml ip=57.89.49.199","WARN prod.loki-ingestor/loki-ingestor-003 [eu-central-1 node-012] rid=<UUID> uid=- tid=- - User user-3825 authenticated via saml ip=<IP>","WARN prod.loki-ingestor/loki-ingestor-003 [eu-central-1 node-012] rid=<UUID> uid=- tid=- - User user-3825 authenticated via saml ip=<IP>"
8,9,"2025-10-18T14:10:06.235786Z DEBUG prod.auth-svc/auth-svc-001 [eu-central-1 node-040] rid=- uid=- tid=- - Payment processed orderId=43aaa691-486b-4668-ade1-f12f4e28e131 amount=951.17 currency=INR gateway=adyen authCode=28fc8a40-7be","DEBUG prod.auth-svc/auth-svc-001 [eu-central-1 node-040] rid=- uid=- tid=- - Payment processed orderId=<UUID> amount=951.17 currency=INR gateway=adyen authCode=28fc8a40-7be","DEBUG prod.auth-svc/auth-svc-001 [eu-central-1 node-040] rid=- uid=- tid=- - Payment processed orderId=<UUID> amount=951.17 currency=INR gateway=adyen authCode=28fc8a40-7be"
9,7,"{""ts"":""2025-10-18T14:14:22.162120Z"",""level"":""DEBUG"",""service"":""payment-svc"",""namespace"":""prod"",""pod"":""payment-svc-002"",""region"":""eu-central-1"",""host"":""node-040"",""request_id"":""2abb8e1a-c473-4771-be6d-1c3eaa6913f7"",""user_id"":""user-3062"",""trace_id"":null,""message"":""Completed job id=adcc2b5e-61a5-4d5e-a919-db6f0f53efe5 result=SUCCESS duration=10770ms""}","{""ts"":""2025-10-18T14:<PORT>:<PORT>.162120Z"",""level"":""DEBUG"",""service"":""payment-svc"",""namespace"":""prod"",""pod"":""payment-svc-002"",""region"":""eu-central-1"",""host"":""node-040"",""request_id"":""<UUID>"",""user_id"":""user-3062"",""trace_id"":null,""message"":""Completed job id=<UUID> result=SUCCESS duration=10770ms""}","<*> job id=<UUID> result=SUCCESS <*>"
